1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
2,1,93,3387200973,488,2
2,1,44,3387200973,486,28
1,0,0,3387339473,0,136
0,0,1,3387339473,3091,17
4,0,0,3387339473,0,-0.070496
5,0,0,3387339473,0,56.531250
4,1,0,3387317245,0,-0.204834
5,1,0,3387317245,0,-24.781250
3,1,0,3387317418,18504,0
1,1,0,3387317418,0,8
2,0,66,3387201022,3347,13
2,0,66,3387201024,888,11
2,0,19,3387201026,663,19
2,0,66,3387201031,559,29
2,1,121,3387200988,704,26
2,1,48,3387201012,845,22
2,1,119,3387201063,3113,12
2,1,112,3387201063,3121,16
3,0,0,3387340005,8738,0
1,0,0,3387340005,0,34
0,0,1,3387340005,1613,12
4,0,0,3387340005,0,-0.427002
0,1,0,3387317418,3383,23
4,1,0,3387317418,0,0.292480
5,1,0,3387317418,0,45.250000
3,1,0,3387317672,273,0
2,0,66,3387201032,1405,2
2,0,66,3387201037,184,29
2,0,66,3387201039,317,28
2,0,121,3387201041,613,28
2,1,117,3387201063,3115,1
2,1,121,3387201063,3123,21
